loc,Latitude,Longitude
烏林國小,22.6973665,120.3752867
八卦國小,22.6884507,120.3341743
灣內國小,22.6820513,120.3561131
橋頭國小,22.7627906,120.3060642
仕隆國小,22.753544,120.3112373
甲圍國小,22.7361808,120.2935944
梓官國中,22.7632487,120.2640338
蚵寮國中,22.7283793,120.2587081
蚵寮國小,22.7338247,120.249708
梓官國小,22.7604041,120.2641597
